No.,Planet Name,Planet Host,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period Days,Orbit Semi-Major Axis,Mass,Eccentricity,Insolation Flux,Equilibrium Temperature,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
11,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883,2.08,273.32,0.29,,,,5098,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,6.20374
12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84,4131.79,,,,M5.5/M6,,,0.19,,,,,
13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52,7786.5,,,,M3.5 V,3530,,0.4,,,,33.8281,12.9025
14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,4417.837,,,,M6,3064,0.28,0.11,,,4.59,,15.0123
15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15,2383.6,,,,M8.5,,,0.02,,,,,18.9668
16,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55,1589.15,,,1250,M8,,,0.02,,,,64.308,17.4076
17,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Kepler,416,0.92,603.877,,,,,,,0.48,,,,396.332,12.1376
18,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,7336.5,,6657.48,0.26,,2075,M8.5,2300,0.12,0.08,,,,,17.3961
19,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,230,3972.875,,,,K7 V,4045,,0.6,,,,69.5737,11.9484
20,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,4392.4106,0.29,,,,6331,1.41,1.93,0.19,[Fe/H],4.43,44.657,6.96085
21,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,0.87,2256.5,0.432,,,K1 III,4415,18.11,1.23,-0.25,[Fe/H],1.8,73.4603,4.23773
22,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,1233.13,0.38,,,K1.5 III,4200,22.03,0.98,-0.46,[Fe/H],1.71,90.6545,4.43216
23,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,804.08,0.032,,,,5872,1.21,1.06,0.04,[M/H],4.3,13.7967,4.87837
24,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391,3.6,171.621,0.098,,,,5872,1.21,1.06,0.04,[M/H],4.3,13.7967,4.87837
25,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002,11.6,521.22,0.16,,,,5872,1.21,1.06,0.04,[M/H],4.3,13.7967,4.87837
26,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,,13.2,635.66,,,700,F0 IV,,,1.75,-0.027,[M/H],,29.7575,5.15806
27,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,150.009,0.013,,,,5758,1.18,1.03,0.18,[M/H],4.31,15.4614,5.28647
28,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,255.4,0,,,,5172,0.94,0.91,0.35,[Fe/H],4.43,12.5855,5.72973
29,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,0.2373,51.2,0.03,,,,5172,0.94,0.91,0.35,[Fe/H],4.43,12.5855,5.72973
30,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5574.2,5.957,991.6,0.13,,,,5172,0.94,0.91,0.35,[Fe/H],4.43,12.5855,5.72973
31,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,7.99,0.05,,,,5172,0.94,0.91,0.35,[Fe/H],4.43,12.5855,5.72973
32,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,259.88,0.7708,47.8,0.08,,,,5172,0.94,0.91,0.35,[Fe/H],4.43,12.5855,5.72973
33,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,2.11,638.8383,0.073,,,,4938,5.2,1.44,,,3.19,54.6599,5.60686
34,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,5.1,0.12,,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.54052
35,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,18.2,0.14,,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.54052
36,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.476,22.9,0.35,,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.54052
37,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.1,1.758,587.9855,0.06,,,,4826,4.87,1.34,0.21,[Fe/H],3.19,19.8101,3.67853
38,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,996,2.153,276.5121,0.08,,,,4826,4.87,1.34,0.21,[Fe/H],3.19,19.8101,3.67853
39,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,2357.02728,0.3988,,,,5495,1.89,1.09,,,3.95,17.9011,4.76178
40,75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,2.1,953.49,0.117,,,G3 III,4846,10.5,2.49,0,[Fe/H],2.63,82.9613,5.09343
41,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,416.3573,0.06,,,,4847,10.3,1.44,-0.03,[Fe/H],2.57,162.552,6.55896
42,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,2.5,1684.4,0.206,,,G5 III,4785,11,2.4,-0.06,[Fe/H],2.35,101.26,5.37588
43,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,181.4,0.7,1017,0.027,,,K0 III,4665,11,1.4,-0.03,[Fe/H],2.52,44.0304,3.95311
44,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,,260,4290.5,,,,K2 V,,,,,,,50.0475,8.8378
45,AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.0645,17,0,,593,,3700,0.75,0.5,,,,9.7221,7.84038
46,AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.1101,13.6,0,,454,,3700,0.75,0.5,,,,9.7221,7.84038
47,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,481.9,1.3,2034.112,0.2,,,,4095,32.35,1.14,-0.71,[Fe/H],1.89,1070.63,8.9977
48,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,268.94,0.78,330.5432,0.29,,,,4864,0.86,0.49,0.17,[Fe/H],4.26,49.352,9.35108
49,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.576,337.21763,0.001,,,,4649,8.95,1.08,-0.22,[Fe/H],2.61,768.045,9.9918
50,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,137.48,0.539,352.78,0.26,,,K0,4796,14.7,1.1,0.28,[Fe/H],2.8,426.42,8.7178
51,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,379.63,1.05,17668.1697,0.15,,,,4259,71.02,10.83,-0.79,[Fe/H],1.77,1539.71,9.22684
52,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,621.99,2.01,3963.17,0.18,,,K2 II,4137,49,2.8,-1,[Fe/H],1.51,1539.71,9.22684
53,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,578.2,1.3,1334.886,0.21,,,K5 III,4296,17.3,0.8,-0.46,[Fe/H],1.99,1322.51,8.91613
54,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.6855,,22.2481,0,,,,5766,1.08,1.67,-0.15,[Fe/H],4.5,179.461,10.8644
55,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,0.83,432.24663,0.12,,,K1,5004,,0.81,-0.09,[Fe/H],4.22,53.622,9.41266
56,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,392.6,1,289.2253,0.2,,,K0 III,4414,11,0.74,-0.2,[Fe/H],2.24,871.493,8.65569
57,BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,733,1.7,540.311,0.76,,,,4534,10.33,1.09,-0.13,[Fe/H],2.48,666.589,8.26449
58,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,2590,4.2,508.5,0.35,,,K0,4943,7.6,1.52,-0.19,[Fe/H],2.85,442.042,9.02851
59,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,0.78,228.83645,0.27,,,K3,5012,,0.91,0.18,[Fe/H],4.09,52.5697,9.15305
60,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48,2.06,1258.60049,0.88,,,K0,5000,,0.82,-0.09,[Fe/H],4.2,38.0473,8.705
61,BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,723.2,1.48,7961.6016,0.39,,,G0,5040,,0.81,-0.14,[Fe/H],4.25,42.6402,8.78101
62,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,3.8728,0.0428,8.5,0,,,K7/M0 V,4324,,0.7,-0.14,[Fe/H],4.74,20.2695,9.10677
63,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,125.94,0.435,53,0.31,,,K7/M0 V,4324,,0.7,-0.14,[Fe/H],4.74,20.2695,9.10677
64,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,5.6,0.06,12.7132,0.15,,,,4816,0.71,0.5,-0.06,[Fe/H],4.43,41.3342,9.50331
65,BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,237.6,0.68,104,0.19,,,K3 V,4746,,0.74,-0.07,[Fe/H],4.13,41.3342,9.50331
66,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.04,187.5197,0.02,,,,5393,0.91,1.47,0.38,[Fe/H],4.69,84.4069,9.83981
67,BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,1634,2.36,206.5895,0.05,,,,4550,0.64,0.65,-0.35,[Fe/H],4.64,27.1665,9.48511
68,BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,0.3,15.37,0.4,,,,4550,0.64,0.65,-0.35,[Fe/H],4.64,27.1665,9.48511
69,BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,714.29999,1.66,3108.3774,0.21,,,,4545,19.17,2.12,-0.08,[Fe/H],2.2,925.214,9.69971
70,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,655.6,1.34,1620.9,0.54,,,K5 V,4714,0.69,0.74,-0.03,[Fe/H],4.26,34.4603,9.20112
71,CD Cet b,CD Cet,1,1,Radial Velocity,2020,Calar Alto Observatory,2.2907,0.0185,3.95,,8.6,464,M5.0 V,3130,0.17,0.16,0.13,[Fe/H],4.93,8.60715,12.1232
72,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,10037.5,2.6,3337.1,,,370,,580.5,,0.02,,,4.72,,
73,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,8040000,200,2479.06157,,,1800,M9-L1,2320,0.24,0.01,,,3.85,,
74,CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,,210,3994.486,,,,M3.5,,,0.35,,,,190.374,17.2934
75,CI Tau b,CI Tau,1,1,Radial Velocity,2019,Multiple Observatories,8.9891,,3686.828,0.25,,,K7,,,0.9,,,,157.998,12.1454
76,COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000,7506,2002.31896,,,434,M3 V,3406,0.39,0.37,0,[Fe/H],4.83,10.8864,10.146
77,CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,,440,5403,,,2600,,,,,,,,190.72,11.7733
78,CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,1.5089557,,327.35,0,,1898,G0 V,5950,1.11,0.95,-0.3,[M/H],4.25,787.909,13.457
79,CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,13.2406,0.1055,874,0.53,,600,K1 V,5075,0.79,0.89,0.26,[Fe/H],4.65,338.386,14.6645
80,CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,2.99433,0.0436,740.51,0,,1657,F6 V,6440,1.37,1.27,-0.03,[Fe/H],4.22,655.037,12.841
81,CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,2.828042,0.04016,291.438,0.07,,1442,,5675,1.12,1.08,0.16,[Fe/H],4.38,1126.37,15.3453
82,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,4.03519,0.051,415.704,0,,1700,G0 V,5945,1.01,1.09,0.01,[Fe/H],4.46,1148.93,14.9147
83,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,1.51214,0.027,2415.4,0,,1952,F9 V,6035,1.21,1.13,0.05,[Fe/H],4.35,1744.6,15.8116
84,CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,5.35227,0.0618,170.032,0.33,,,G5 V,5650,1.19,1.1,0.19,[M/H],4.36,732.409,15.6507
85,CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,3.7681,0.0461,772.29,0,,1626,G2 V,5740,1.59,1.04,0,[Fe/H],4.4,1176.12,15.4368
86,CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,1.9000693,0.0295,1102.82,0.08,,1550,G9 V,5440,1,0.95,-0.1,[Fe/H],4.4,764.889,14.8009
87,CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,3.89713,0.0518,352.78,0.047,,2000,F9 V,6090,1.65,1.21,-0.02,[Fe/H],4.07,790.663,13.7831
88,CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,1.7429935,0.02798,1102.82,0.0143,,,,5625,0.91,0.96,,,,213.283,12.2489
89,CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,9.24285,0.09,1366.669,0.59,,,,,,1.14,,,,844.061,14.4686
90,CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,Multiple Observatories,1675,2.9,5403.11,0.6,,,,,,1.14,,,,844.061,14.4686
91,CoRoT-21 b,CoRoT-21,1,1,Transit,2012,CoRoT,2.72474,0.0417,718.2958,0,,,F8 IV,6200,1.95,1.29,0,[Fe/H],3.7,,15.8558
92,CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,9.75598,0.092,12.2,0.077,,885,G3 V,5939,1.14,1.1,0.17,[Fe/H],4.36,627.158,13.7305
93,CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,3.6313,0.048,889.9,0.16,,1660,G0 V,5900,1.61,1.14,0.05,[Fe/H],4.3,1060.97,15.0681
94,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,5.1134,0.056,5.7,0,,1070,K1 V,4950,0.86,0.91,0.3,[Fe/H],4.55,591.555,15.1801
95,CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,11.759,0.098,28,0,,850,K1 V,4950,0.86,0.91,0.3,[Fe/H],4.55,591.555,15.1801
96,CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,4.86069,0.0578,85.81,0,,1330,F9,6040,1.19,1.09,-0.01,[Fe/H],4.31,1103.48,14.711
97,CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,4.20474,0.0526,165.26,0,,1600,G5,5590,1.79,1.09,0.01,[Fe/H],3.99,1045.18,15.4682
98,CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,3.57532,0.0476,3302.11,0.065,,1500,G2,5900,1.08,1.05,-0.1,[M/H],4.4,1010.28,15.3902
99,CoRoT-28 b,CoRoT-28,1,1,Transit,2015,CoRoT,5.20851,0.0603,153.82972,0.047,,,G8/9 IV,5150,1.78,1.01,0.15,[Fe/H],3.6,766.183,13.4119
100,CoRoT-29 b,CoRoT-29,1,1,Transit,2015,CoRoT,2.85057,0.0386,270.1555,0.082,,,K0 V,5260,0.9,0.97,0.2,[Fe/H],4.3,806.507,15.2394
101,CoRoT-3 b,CoRoT-3,1,1,Transit,2008,CoRoT,4.2568,,6883.91,0,,,F3 V,6740,1.56,1.37,,,4.22,768.771,13.2188
102,CoRoT-30 b,CoRoT-30,1,1,Transit,2020,CoRoT,9.06005,0.0844,921.707,0.007,,,G3 V,5650,0.91,0.98,0.02,[Fe/H],4.4,1032.23,15.413
103,CoRoT-31 b,CoRoT-31,1,1,Transit,2020,CoRoT,4.62941,0.0586,266.9772,0.02,,,G2 IV,5700,2.15,1.25,0,[Fe/H],3.85,2005.76,15.4655
104,CoRoT-4 b,CoRoT-4,1,1,Transit,2008,CoRoT,9.20205,0.09,228.83,0,,1074,,6190,1.17,1.16,,,4.41,726.412,13.5613
105,CoRoT-5 b,CoRoT-5,1,1,Transit,2009,CoRoT,4.0378962,0.04947,148.42,0.09,,1438,F9 V,6100,1.19,1,-0.25,[M/H],4.19,882.472,13.9021
106,CoRoT-6 b,CoRoT-6,1,1,Transit,2009,CoRoT,8.886593,0.0855,940.74,0.1,,1017,F9 V,6090,1.02,1.05,-0.2,[Fe/H],4.43,645.294,13.7459
107,CoRoT-7 b,CoRoT-7,1,2,Transit,2009,CoRoT,0.85359163,,4.07661,0,,,,5275,0.83,0.82,0.05,[Fe/H],4.5,159.906,11.5239
108,CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,2009,CoRoT,3.698,0.046,8.4,0,,,,5256,0.86,0.9,0.06,[M/H],4.52,159.906,11.5239
109,CoRoT-8 b,CoRoT-8,1,1,Transit,2010,CoRoT,6.21229,0.063,69.92,0,,,K1 V,5080,0.77,0.88,0.3,[M/H],4.58,322.037,14.2195
110,CoRoT-9 b,CoRoT-9,2,1,Transit,2009,CoRoT,95.272656,0.4021,266.9772,0.133,,420,,5625,0.96,0.96,-0.01,[Fe/H],4.54,412.98,13.5008
111,CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,CoRoT,6.71837,0.071,47.6745,,132.26,938,G0 VI,5970,0.79,1.08,0,[Fe/H],4.67,576.683,13.5867
112,DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,Multiple Facilities,4098.1,5.75,3823.2733,0,,,,,,0.51,,,,30.5225,11.9752
113,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,Paranal Observatory,246.36,0.36,9057.77,0.345,,,L1.5,,,0.07,,,,,18.5577
114,DH Tau b,DH Tau,1,1,Imaging,2004,Subaru Telescope,,330,3496,,,,M0.5,,0.27,0.33,,,,134.846,12.4961
115,DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,18.57,0.1462,24.27,0.083,,877,F8 V,6196,1.26,1.21,,,4.41,62.5388,7.85032
116,DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,6.584,0.0733,9.6,0.057,,1239,F8 V,6196,1.26,1.21,,,4.41,62.5388,7.85032
117,DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,2.882,0.0422,3.35,0.07,,1632,F8 V,6196,1.26,1.21,,,4.41,62.5388,7.85032
118,DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,5.516,0.0651,4.13,0.07,,1314,F8 V,6196,1.26,1.21,,,4.41,62.5388,7.85032
119,DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,Multiple Facilities,5.2072,0.0664,138.89171,0.078,,1000,F5 V,6500,1.78,1.44,,,4.1,137.94,8.45824
120,DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,La Silla Observatory,6.6732,0.0662,2.58,0.14,,854,K0 V,5138,0.91,0.87,0.18,[Fe/H],4.3,45.23,
121,DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220,8.19,1922.79,0.39,,,,,,0.69,,,,305.684,18.6333
122,DS Tuc A b,DS Tuc A,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.138268,,,0,,850,G6 V,5428,0.96,1.01,0,,,44.0622,8.31926
123,EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,K2,6.7987,0.0349,,0,,,,3648,0.28,0.29,-0.048,[Fe/H],5,,16.4386
124,EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,K2,28.1656,,,,,,,,,0.41,,,,159.259,15.2612
125,EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,K2,0.72091,,,,,,,5633,0.94,,-0.053,[Fe/H],4.4,706.391,14.147
126,EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,K2,2.13174,,,,,,,,,0.78,,,,253.026,13.7368
127,EPIC 201595106 b,EPIC 201595106,1,1,Transit,2021,K2,0.877214,,,,,,,5820,0.93,,-0.01,[Fe/H],4.6,232.1,11.6477
128,EPIC 201615463 c,K2-166,1,2,Transit,2019,K2,3.80464,,,,,,,,,1.07,,,,476.882,11.9456
129,EPIC 201754305 d,K2-16,1,3,Transit,2019,K2,2.71578,,,,,,,,,0.67,,,,334.967,14.3234
130,EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,K2,2.0478,0.0296,,0,,,,4520,0.66,0.73,-0.003,[Fe/H],4.66,,
131,EPIC 201833600 c,K2-50,1,2,Transit,2019,K2,3.96151,,,,,,,,,0.61,,,,257.443,14.2575
132,EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,K2,4.1698,0.035,,,,,,5053,0.63,0.8,0,[Fe/H],4.59,436.488,14.5885
133,EPIC 205950854 c,K2-168,1,2,Transit,2019,K2,8.050722,,,,,961,,5502.7,0.83,0.88,,,,243.935,12.0976
134,EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,K2,4.50756,,,,,,,,,0.93,,,,369.888,12.9682
135,EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,K2,0.911724,,,,,,,5724,1.1,,-0.22,[Fe/H],4.5,369.888,12.9682
136,EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,K2,14.647531,,,,,,,5724,1.1,,-0.22,[Fe/H],4.5,369.888,12.9682
137,EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,K2,2.87814,,,,,,,,,0.22,,,,161.365,16.0689
138,EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,K2,5.29711,,,,,,,,,0.56,,,,451.769,15.9752
139,EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,K2,0.354884,,,,,,,4114,0.5,,0.006,[Fe/H],4.8,451.769,15.9752
140,EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,K2,2.25372,,,,,,,,,0.41,,,,109.888,16.1722
141,EPIC 206317286 b,EPIC 206317286,1,1,Transit,2019,K2,1.58252,,,,,,,,,0.71,,,,314.35,13.774
142,EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,K2,21.1701963,0.1195,,,,431,,4057,0.58,0.62,0.2,[Fe/H],4.7,186.197,14.5263
143,EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,K2,19.49221,0.1493,,,,817,,6069,1.39,1.17,0.1,[Fe/H],4.22,181.69,10.0512
144,EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,K2,2.289363,,,,,1149,,5171,0.8,0.83,-0.03,[Fe/H],4.55,418.395,14.1864
145,EPIC 212297394 c,EPIC 212297394,1,2,Transit,2016,K2,5.213965,,,,,866,,5171,0.8,0.83,-0.03,[Fe/H],4.55,418.395,14.1864
146,EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,K2,18.0983,,,,,,,,,1.11,,,,611.804,13.2026
147,EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,K2,34.885,,,,,,,,,0.91,,,,283.29,13.3118
148,EPIC 212587672 b,EPIC 212587672,1,2,Transit,2019,K2,15.28078,,,,,756,,6004,0.98,0.99,-0.18,[Fe/H],4.45,320.07,12.2038
